username,description,value,created,type
leoschew,Income of the day,0.00001000,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00005333,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00001350,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00001800,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00002667,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00001350,2017-12-27 00:00:00,income
leoschew,Income of the day,0.01633333,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00007133,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00076667,2017-12-27 00:00:00,income
leoschew,Income of the day,0.00001350,2017-12-29 02:02:39.807574,income
leoschew,Income of the day,0.00008318,2017-12-29 02:02:41.255159,income
leoschew,Income of the day,0.07000000,2017-12-29 02:02:42.496217,income
leoschew,Income of the day,0.00001350,2017-12-29 02:02:44.098203,income
leoschew,Income of the day,0.23333333,2017-12-29 02:02:45.246520,income
leoschew,Income of the day,0.00001800,2017-12-29 02:02:46.503965,income
leoschew,Income of the day,0.00002000,2017-12-29 02:02:48.049437,income
leoschew,Income of the day,0.00002667,2017-12-29 02:02:49.763199,income
leoschew,Income of the day,0.00004000,2017-12-29 02:02:50.851813,income
leoschew,Income of the day,0.00001000,2017-12-29 02:02:51.993403,income
leoschew,Income of the day,0.00032670,2017-12-29 02:02:53.090786,income
leoschew,Income of the day,0.00005333,2017-12-29 02:02:54.234998,income
leoschew,Income of the day,0.00001350,2017-12-29 02:02:55.983080,income
leoschew,Income of the day,0.00001800,2017-12-29 02:02:57.444051,income
leoschew,Income of the day,0.00002667,2017-12-29 02:02:58.878908,income
leoschew,Income of the day,0.00001350,2017-12-29 02:03:00.392995,income
leoschew,Income of the day,0.01633333,2017-12-29 02:03:01.463343,income
leoschew,Income of the day,0.00007133,2017-12-29 02:03:02.773514,income
leoschew,Income of the day,0.00076667,2017-12-29 02:03:04.378473,income
leoschew,Income of the day,0.00001350,2017-12-30 09:49:37.272975,income
leoschew,Income of the day,0.00008318,2017-12-30 09:49:38.106187,income
leoschew,Income of the day,0.07000000,2017-12-30 09:49:38.937363,income
leoschew,Income of the day,0.00001350,2017-12-30 09:49:39.768884,income
leoschew,Income of the day,0.23333333,2017-12-30 09:49:40.599137,income
leoschew,Income of the day,0.00001800,2017-12-30 09:49:41.429914,income
leoschew,Income of the day,0.00002000,2017-12-30 09:49:42.263527,income
leoschew,Income of the day,0.00002667,2017-12-30 09:49:43.119376,income
leoschew,Income of the day,0.00004000,2017-12-30 09:49:43.948905,income
leoschew,Income of the day,0.00001000,2017-12-30 09:49:44.782120,income
leoschew,Income of the day,0.00032670,2017-12-30 09:49:45.612840,income
leoschew,Income of the day,0.00005333,2017-12-30 09:49:46.443116,income
leoschew,Income of the day,0.00001350,2017-12-30 09:49:47.276206,income
leoschew,Income of the day,0.00001350,2017-12-26 00:00:00,income
leoschew,Income of the day,0.00001800,2017-12-30 09:49:48.106618,income
leoschew,Income of the day,0.00002667,2017-12-30 09:49:48.937288,income
leoschew,Income of the day,0.00001350,2017-12-30 09:49:49.768169,income
leoschew,Income of the day,0.01633333,2017-12-30 09:49:50.599262,income
leoschew,Income of the day,0.00007133,2017-12-30 09:49:51.427856,income
leoschew,Income of the day,0.00076667,2017-12-30 09:49:52.261591,income
leoschew,Income of the day,0.00001800,2017-12-30 09:49:53.092578,income
leoschew,Income of the day,0.00206000,2017-12-30 09:49:53.924225,income
leoschew,Income of the day,0.00001350,2018-01-01 14:25:00.663562,income
leoschew,Income of the day,0.00008318,2018-01-01 14:25:01.498819,income
leoschew,Income of the day,0.07000000,2018-01-01 14:25:02.324998,income
leoschew,Income of the day,0.00001350,2018-01-01 14:25:03.151226,income
leoschew,Income of the day,0.23333333,2018-01-01 14:25:03.979302,income
leoschew,Income of the day,0.00001800,2018-01-01 14:25:04.807620,income
leoschew,Income of the day,0.00002000,2018-01-01 14:25:05.634540,income
leoschew,Income of the day,0.00002667,2018-01-01 14:25:06.465558,income
leoschew,Income of the day,0.00004000,2018-01-01 14:25:07.295118,income
leoschew,Income of the day,0.00001000,2018-01-01 14:25:08.132954,income
leoschew,Income of the day,0.00032670,2018-01-01 14:25:08.959700,income
leoschew,Income of the day,0.00005333,2018-01-01 14:25:09.787462,income
leoschew,Income of the day,0.00001350,2018-01-01 14:25:10.617798,income
leoschew,Income of the day,0.00001800,2018-01-01 14:25:11.441972,income
leoschew,Income of the day,0.00002667,2018-01-01 14:25:12.634397,income
leoschew,Income of the day,0.00001350,2018-01-01 14:25:13.462234,income
leoschew,Income of the day,0.01633333,2018-01-01 14:25:14.286166,income
leoschew,Income of the day,0.00007133,2018-01-01 14:25:15.112093,income
leoschew,Income of the day,0.00076667,2018-01-01 14:25:15.937360,income
leoschew,Income of the day,0.00001800,2018-01-01 14:25:16.762117,income
leoschew,Income of the day,0.00206000,2018-01-01 14:25:17.591044,income
leoschew,Income of the day,0.00001350,2018-01-02 23:22:55.245862,income
leoschew,Income of the day,0.00008318,2018-01-02 23:22:56.536301,income
leoschew,Income of the day,0.07000000,2018-01-02 23:22:57.914822,income
leoschew,Income of the day,0.00001350,2018-01-02 23:22:59.953570,income
leoschew,Income of the day,0.23333333,2018-01-02 23:23:02.612303,income
leoschew,Income of the day,0.00001800,2018-01-02 23:23:05.042237,income
leoschew,Income of the day,0.00002000,2018-01-02 23:23:06.535210,income
leoschew,Income of the day,0.00002667,2018-01-02 23:23:07.852490,income
leoschew,Income of the day,0.00004000,2018-01-02 23:23:09.966960,income
leoschew,Income of the day,0.00001000,2018-01-02 23:23:12.147604,income
leoschew,Income of the day,0.00032670,2018-01-02 23:23:14.966528,income
leoschew,Income of the day,0.00005333,2018-01-02 23:23:18.748085,income
leoschew,Income of the day,0.00001350,2018-01-02 23:23:20.818866,income
leoschew,Income of the day,0.00001800,2018-01-02 23:23:22.188074,income
leoschew,Income of the day,0.00002667,2018-01-02 23:23:23.438435,income
leoschew,Income of the day,0.00001350,2018-01-02 23:23:24.830730,income
leoschew,Income of the day,0.01633333,2018-01-02 23:23:26.209563,income
leoschew,Income of the day,0.00007133,2018-01-02 23:23:27.459456,income
leoschew,Income of the day,0.00076667,2018-01-02 23:23:28.538439,income
leoschew,Income of the day,0.00001800,2018-01-02 23:23:31.188325,income
leoschew,Income of the day,0.00206000,2018-01-02 23:23:37.663119,income
leoschew,Income of the day,0.00018333,2018-01-02 23:23:42.821355,income
leoschew,Income of the day,0.00010533,2018-01-02 23:23:47.283418,income
leoschew,Income of the day,0.00001350,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00008318,2017-12-31 00:00:00,income
leoschew,Income of the day,0.07000000,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001350,2017-12-31 00:00:00,income
leoschew,Income of the day,0.23333333,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001800,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00002000,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00002667,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00004000,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001000,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00032670,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00005333,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001350,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001800,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00002667,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001350,2017-12-31 00:00:00,income
leoschew,Income of the day,0.01633333,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00007133,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00076667,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001800,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00206000,2017-12-31 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00008318,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00018333,2018-01-01 00:00:00,income
leoschew,Income of the day,0.07000000,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-04 00:00:00,income
leoschew,Income of the day,0.23333333,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00002000,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001000,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00032670,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00005333,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-04 00:00:00,income
leoschew,Income of the day,0.01633333,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00007133,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00076667,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00206000,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00018333,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00010533,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00016667,2018-01-04 00:00:00,income
leoschew,Income of the day,0.00010533,2018-01-05 00:00:00,income
leoschew,Income of the day,0.00016667,2018-01-05 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-05 00:00:00,income
leoschew,Income of the day,0.01010000,2018-01-05 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00008318,2018-01-06 00:00:00,income
leoschew,Income of the day,0.07000000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-06 00:00:00,income
leoschew,Income of the day,0.23333333,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00002000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00032670,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00005333,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-06 00:00:00,income
leoschew,Income of the day,0.01633333,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00007133,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00076667,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00206000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00018333,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00010533,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00016667,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.01010000,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-06 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00008318,2018-01-07 00:00:00,income
leoschew,Income of the day,0.07000000,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-07 00:00:00,income
leoschew,Income of the day,0.23333333,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00002000,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001000,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00032670,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00005333,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-07 00:00:00,income
leoschew,Income of the day,0.01633333,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00007133,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00076667,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00206000,2018-01-07 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00008318,2018-01-09 00:00:00,income
leoschew,Income of the day,0.07000000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-09 00:00:00,income
leoschew,Income of the day,0.23333333,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00002000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00032670,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00005333,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-09 00:00:00,income
leoschew,Income of the day,0.01633333,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00007133,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00076667,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00206000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00018333,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00010533,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00016667,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00205800,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.01010000,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-09 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00008318,2018-01-03 00:00:00,income
leoschew,Income of the day,0.07000000,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-03 00:00:00,income
leoschew,Income of the day,0.23333333,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00002000,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00004000,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001000,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00032670,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00005333,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00002667,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001350,2018-01-03 00:00:00,income
leoschew,Income of the day,0.01633333,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00007133,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00076667,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00001800,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00206000,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00018333,2018-01-03 00:00:00,income
leoschew,Income of the day,0.00010533,2018-01-03 00:00:00,income
